kode_kota_kabupaten,nama_kota_kabupaten,tahun,proyeksi_jumlah_penduduk
3217,KAB. BANDUNG BARAT,2010,1522.0799999999997
3217,KAB. BANDUNG BARAT,2011,1545.12
3217,KAB. BANDUNG BARAT,2012,1567.4000000000003
3217,KAB. BANDUNG BARAT,2013,1588.8100000000002
3217,KAB. BANDUNG BARAT,2014,1609.5300000000004
3217,KAB. BANDUNG BARAT,2015,1629.4299999999996
3217,KAB. BANDUNG BARAT,2016,1648.39
3217,KAB. BANDUNG BARAT,2017,1718.0299999999997
3218,KAB. PANGANDARAN,2010,379.54
3218,KAB. PANGANDARAN,2011,381.73999999999995
3218,KAB. PANGANDARAN,2012,383.93
3218,KAB. PANGANDARAN,2013,386.13
3218,KAB. PANGANDARAN,2014,388.33000000000004
3218,KAB. PANGANDARAN,2015,390.5
3218,KAB. PANGANDARAN,2016,392.84
3218,KAB. PANGANDARAN,2017,412.21000000000004
3271,KOTA BOGOR,2010,958.09
3271,KOTA BOGOR,2011,976.8000000000001
3271,KOTA BOGOR,2012,995.1000000000001
3271,KOTA BOGOR,2013,1013.0500000000001
3271,KOTA BOGOR,2014,1030.72
3271,KOTA BOGOR,2015,1047.9199999999998
3271,KOTA BOGOR,2016,1064.68
3271,KOTA BOGOR,2017,1055.07
3272,KOTA SUKABUMI,2010,301.0199999999999
3272,KOTA SUKABUMI,2011,304.70000000000005
3272,KOTA SUKABUMI,2012,308.4
3272,KOTA SUKABUMI,2013,311.85999999999996
3272,KOTA SUKABUMI,2014,315.01000000000005
3272,KOTA SUKABUMI,2015,318.13000000000005
3272,KOTA SUKABUMI,2016,321.11000000000007
3272,KOTA SUKABUMI,2017,340.33000000000004
3273,KOTA BANDUNG,2010,2412.119999999999
3273,KOTA BANDUNG,2011,2429.19
3273,KOTA BANDUNG,2012,2444.63
3273,KOTA BANDUNG,2013,2458.5100000000007
3273,KOTA BANDUNG,2014,2470.8100000000004
3273,KOTA BANDUNG,2015,2481.48
3273,KOTA BANDUNG,2016,2490.640000000001
3273,KOTA BANDUNG,2017,2378.3299999999995
3274,KOTA CIREBON,2010,293.21
3274,KOTA CIREBON,2011,295.99
3274,KOTA CIREBON,2012,298.84
3274,KOTA CIREBON,2013,301.71999999999997
3274,KOTA CIREBON,2014,304.59000000000003
3274,KOTA CIREBON,2015,307.49999999999994
3274,KOTA CIREBON,2016,310.47
3274,KOTA CIREBON,2017,403.44000000000005
3275,KOTA BEKASI,2010,2356.1000000000004
3275,KOTA BEKASI,2011,2427.0900000000006
3275,KOTA BEKASI,2012,2498.5899999999997
3275,KOTA BEKASI,2013,2570.41
3275,KOTA BEKASI,2014,2642.54
3275,KOTA BEKASI,2015,2714.82
3275,KOTA BEKASI,2016,2787.2000000000007
3275,KOTA BEKASI,2017,2769.45
3276,KOTA DEPOK,2010,1755.6000000000001
3276,KOTA DEPOK,2011,1823.1899999999998
3276,KOTA DEPOK,2012,1892.0000000000002
3276,KOTA DEPOK,2013,1962.1799999999996
3276,KOTA DEPOK,2014,2033.5100000000004
3276,KOTA DEPOK,2015,2106.1
3276,KOTA DEPOK,2016,2179.83
3276,KOTA DEPOK,2017,2164.29
3277,KOTA CIMAHI,2010,545.51
3277,KOTA CIMAHI,2011,554.18
3277,KOTA CIMAHI,2012,562.73
3277,KOTA CIMAHI,2013,571.0100000000001
3277,KOTA CIMAHI,2014,579.01
3277,KOTA CIMAHI,2015,586.5799999999999
3277,KOTA CIMAHI,2016,594.02
3277,KOTA CIMAHI,2017,590.11
3278,KOTA TASIKMALAYA,2010,639.9999999999999
3278,KOTA TASIKMALAYA,2011,644.3100000000003
3278,KOTA TASIKMALAYA,2012,648.1999999999999
3278,KOTA TASIKMALAYA,2013,651.6899999999999
3278,KOTA TASIKMALAYA,2014,654.7900000000001
3278,KOTA TASIKMALAYA,2015,657.4899999999999
3278,KOTA TASIKMALAYA,2016,659.6300000000001
3278,KOTA TASIKMALAYA,2017,661.28
3279,KOTA BANJAR,2010,176.5
3279,KOTA BANJAR,2011,177.59000000000003
3279,KOTA BANJAR,2012,178.74000000000004
3279,KOTA BANJAR,2013,179.71
3279,KOTA BANJAR,2014,180.50999999999996
3279,KOTA BANJAR,2015,181.45
3279,KOTA BANJAR,2016,181.89999999999998
3279,KOTA BANJAR,2017,315.62
